No.,Time,Protocol,Length,Info,Label
1,0.407611,14,62,27,6
2,0.407794,14,62,27,6
3,0.408029,14,62,27,6
4,0.408206,14,62,27,6
5,0.40844,14,62,27,6
6,0.40875,14,62,27,6
7,0.408941,14,62,27,6
8,0.409114,14,62,27,6
9,0.40929,14,62,27,6
10,0.574819,13,157,27,6
11,1.574509,13,157,27,6
12,1.910366,14,62,27,6
13,1.910524,14,62,27,6
14,1.910661,14,62,27,6
15,2.575215,13,157,27,6
16,3.41139,14,62,27,6
17,3.411535,14,62,27,6
18,3.89312,10,86,24,5
19,3.893714,10,86,24,5
20,3.894071,10,86,24,5
21,3.894374,10,86,24,5
22,3.894715,10,86,24,5
23,3.894985,10,86,24,5
24,3.895254,10,86,24,5
25,3.895548,10,86,24,5
26,3.89582,10,86,24,5
27,3.896083,10,86,24,5
28,3.896347,10,86,24,5
29,3.896617,10,86,24,5
30,3.896876,10,86,24,5
31,3.897133,10,86,24,5
32,3.897399,10,86,24,5
33,3.897686,10,86,24,5
34,3.897943,10,86,24,5
35,3.898198,10,86,24,5
36,3.898478,10,86,24,5
37,3.898743,10,86,24,5
38,3.898998,10,86,24,5
39,3.899253,10,86,24,5
40,3.89954,10,86,24,5
41,3.899797,10,86,24,5
42,3.900052,10,86,24,5
43,3.900313,10,86,24,5
44,3.90059,10,86,24,5
45,3.900847,10,86,24,5
46,3.901105,10,86,24,5
47,3.901407,10,86,24,5
48,3.901669,10,86,24,5
49,3.901931,10,86,24,5
50,3.902187,10,86,24,5
51,3.902472,10,86,24,5
52,3.902729,10,86,24,5
53,3.902987,10,86,24,5
54,3.903262,10,86,24,5
55,3.903544,10,86,24,5
56,3.903804,10,86,24,5
57,3.904061,10,86,24,5
58,3.904347,10,86,24,5
59,3.904611,10,86,24,5
60,3.90487,10,86,24,5
61,3.905127,10,86,24,5
62,3.90541,10,86,24,5
63,3.905672,10,86,24,5
64,3.905932,10,86,24,5
65,3.906198,10,86,24,5
66,3.906491,10,86,24,5
67,3.906751,10,86,24,5
68,3.907006,10,86,24,5
69,3.907268,10,86,24,5
70,3.907525,10,86,24,5
71,3.907782,10,86,24,5
72,3.908051,10,86,24,5
73,3.908312,10,86,24,5
74,3.908569,10,86,24,5
75,3.908828,10,86,24,5
76,3.909083,10,86,24,5
77,3.909342,10,86,24,5
78,3.909601,10,86,24,5
79,3.909855,10,86,24,5
80,3.910122,10,86,24,5
81,3.910392,10,86,24,5
82,3.910646,10,86,24,5
83,3.910901,10,86,24,5
84,3.911179,10,86,24,5
85,3.91144,10,86,24,5
86,3.911701,10,86,24,5
87,3.91196,10,86,24,5
88,3.912237,10,86,24,5
89,3.912497,10,86,24,5
90,3.912753,10,86,24,5
91,3.913012,10,86,24,5
92,3.913316,10,86,24,5
93,3.913583,10,86,24,5
94,3.913853,10,86,24,5
95,3.914154,10,86,24,5
96,3.914439,10,86,24,5
97,3.914704,10,86,24,5
98,3.914969,10,86,24,5
99,3.915262,10,86,24,5
100,3.915519,10,86,24,5
101,3.915776,10,86,24,5
102,3.916061,10,86,24,5
103,3.916336,10,86,24,5
104,3.9166,10,86,24,5
105,3.916857,10,86,24,5
106,3.917169,10,86,24,5
107,3.917436,10,86,24,5
108,3.917694,10,86,24,5
109,3.917968,10,86,24,5
110,3.918249,10,86,24,5
111,3.918509,10,86,24,5
112,3.918766,10,86,24,5
113,3.919055,10,86,24,5
114,3.919315,10,86,24,5
115,3.919573,10,86,24,5
116,3.919846,10,86,24,5
117,3.920129,10,86,24,5
118,3.920389,10,86,24,5
119,3.920644,10,86,24,5
120,3.920935,10,86,24,5
121,3.921209,10,86,24,5
122,3.921469,10,86,24,5
123,3.921725,10,86,24,5
124,3.922001,12,16,24,5
125,3.922082,10,86,24,5
126,3.922342,10,86,24,5
127,3.922598,10,86,24,5
128,3.922863,10,86,24,5
129,3.923125,10,86,24,5
130,3.923393,10,86,24,5
131,3.923654,10,86,24,5
132,3.92394,10,86,24,5
133,3.924205,10,86,24,5
134,3.92446,10,86,24,5
135,3.924722,10,86,24,5
136,3.925027,10,86,24,5
137,3.92529,10,86,24,5
138,3.925546,10,86,24,5
139,3.925823,10,86,24,5
140,3.926097,10,86,24,5
141,3.926358,10,86,24,5
142,3.926617,10,86,24,5
143,3.926916,10,86,24,5
144,3.927181,10,86,24,5
145,3.927441,10,86,24,5
146,3.927718,10,86,24,5
147,3.928006,10,86,24,5
148,3.928267,10,86,24,5
149,3.928523,10,86,24,5
150,3.928809,10,86,24,5
151,3.929077,10,86,24,5
152,3.929335,10,86,24,5
153,3.929588,10,86,24,5
154,3.929853,10,86,24,5
155,3.930113,10,86,24,5
156,3.930367,10,86,24,5
157,3.930636,10,86,24,5
158,3.930935,10,86,24,5
159,3.9312,10,86,24,5
160,3.931473,10,86,24,5
161,3.931774,10,86,24,5
162,3.932074,10,86,24,5
163,3.932363,10,86,24,5
164,3.932635,10,86,24,5
165,3.932894,10,86,24,5
166,3.93315,10,86,24,5
167,3.933417,10,86,24,5
168,3.933692,10,86,24,5
169,3.933953,10,86,24,5
170,3.934211,10,86,24,5
171,3.934489,10,86,24,5
172,3.934769,10,86,24,5
173,3.935029,10,86,24,5
174,3.935289,10,86,24,5
175,3.935568,10,86,24,5
176,3.935832,10,86,24,5
177,3.936091,10,86,24,5
178,3.936351,10,86,24,5
179,3.936632,10,86,24,5
180,3.936888,10,86,24,5
181,3.937144,10,86,24,5
182,3.937405,10,86,24,5
183,3.937686,10,86,24,5
184,3.937949,10,86,24,5
185,3.938201,10,86,24,5
186,3.93847,10,86,24,5
187,3.93875,10,86,24,5
188,3.93901,10,86,24,5
189,3.939267,10,86,24,5
190,3.939555,10,86,24,5
191,3.939824,10,86,24,5
192,3.940082,10,86,24,5
193,3.940338,10,86,24,5
194,3.940626,10,86,24,5
195,3.940887,10,86,24,5
196,3.94116,10,86,24,5
197,3.941434,10,86,24,5
198,3.94171,10,86,24,5
199,3.941971,10,86,24,5
200,3.942226,10,86,24,5
201,3.942505,10,86,24,5
202,3.94277,10,86,24,5
203,3.943027,10,86,24,5
204,3.94328,10,86,24,5
205,3.943546,10,86,24,5
206,3.943798,10,86,24,5
207,3.94406,10,86,24,5
208,3.944332,10,86,24,5
209,3.944623,10,86,24,5
210,3.944884,10,86,24,5
211,3.94514,10,86,24,5
